dataset,group,model,n_seeds,n_users_mean,n_users_sd,average_history_length_mean,average_history_length_sd,average_interest_diversity_mean,average_interest_diversity_sd,Recall@10_mean,Recall@10_sd,NDCG@10_mean,NDCG@10_sd,MRR@10_mean,MRR@10_sd,Recall@20_mean,Recall@20_sd,NDCG@20_mean,NDCG@20_sd,MRR@20_mean,MRR@20_sd
sports,High,FIR-MIC,10,522.0,0.0,3.1570881226053644,4.681111291435602e-16,0.839319199220174,1.1702778228589004e-16,0.0467432950191571,0.0038526444773942146,0.023658947331048678,0.001088726957230258,0.016835507510794864,0.000862226745487145,0.07662835249042145,0.002212069996895115,0.03121186567753253,0.000929966425335415,0.01890604844770177,0.0009378012012327049
sports,High,Multi-interest per-item,10,522.0,0.0,3.1570881226053644,4.681111291435602e-16,0.839319199220174,1.1702778228589004e-16,0.049042145593869726,0.004533394469808136,0.02399879924863785,0.0013841080881120142,0.01645951164629325,0.0017177589086715167,0.08180076628352491,0.004950459117066235,0.03220771080843337,0.0017407752690210643,0.01867454466905999,0.0018254509795797025
sports,Low,FIR-MIC,10,522.0,0.0,3.17816091954023,0.0,0.5924905502590639,0.0,0.08256704980842913,0.002776125813446256,0.046101628740365774,0.001210432184804032,0.034970960287052245,0.0009388298863492724,0.12586206896551724,0.0062599366197458334,0.05690130841293247,0.0017364122430051517,0.037857804682450605,0.0009531679512537873
sports,Low,Multi-interest per-item,10,522.0,0.0,3.17816091954023,0.0,0.5924905502590639,0.0,0.07528735632183908,0.005993716490552907,0.04439411243275227,0.0030342659539241866,0.035067277869002,0.0027572815517893433,0.11839080459770117,0.004675097118192373,0.05513071231358078,0.002596747004126001,0.037929061150743654,0.0025861568643027687
sports,Medium,FIR-MIC,10,522.0,0.0,3.8908045977011496,0.0,0.7442105638855263,1.1702778228589004e-16,0.0496168582375479,0.003432868468892877,0.02634869166097565,0.0014037561532112635,0.01933771209633279,0.0010850858002608235,0.08754789272030652,0.0037289403117896362,0.03600574411860931,0.0014211236470658725,0.022022832130524025,0.0010812382757105269
sports,Medium,Multi-interest per-item,10,522.0,0.0,3.8908045977011496,0.0,0.7442105638855263,1.1702778228589004e-16,0.055747126436781605,0.004465423687623777,0.02788688045252961,0.0009047360146332629,0.019604847047375785,0.0009847729075515342,0.08754789272030652,0.004428746075197881,0.03589154115912584,0.0013202263404215396,0.021783822827357753,0.0011979600112315652
sports,Single-history,FIR-MIC,10,127.0,0.0,1.0,0.0,,,0.06614173228346457,0.007607021914010204,0.041051226073744375,0.0026634107379558966,0.03349487564054494,0.00154061028560202,0.07559055118110236,0.005505558258111032,0.043423266868333754,0.0023259154381993236,0.03413702354056075,0.0015576855971383137
sports,Single-history,Multi-interest per-item,10,127.0,0.0,1.0,0.0,,,0.053543307086614166,0.008132248495973578,0.03827060148467956,0.0037700516584325793,0.03357174103237095,0.0035733099339601824,0.09448818897637794,0.012310802519221599,0.048584326663117336,0.0030116587957223664,0.036381077764454574,0.0030706271629401182
clothing,High,FIR-MIC,10,648.0,0.0,2.7978395061728394,0.0,0.7061748805766304,1.1702778228589004e-16,0.04907407407407407,0.0015938203070812416,0.03246448647663564,0.0006620939434019939,0.02730924211248285,0.0006584567030754586,0.0685185185185185,0.0039978105406842475,0.037374733951719016,0.0008541731862034467,0.028653286610355037,0.0005693231004815904
clothing,High,Multi-interest per-item,10,648.0,0.0,2.7978395061728394,0.0,0.7061748805766304,1.1702778228589004e-16,0.058179012345679015,0.004118440103137469,0.03612561215729617,0.0010840196185800742,0.029535506074857932,0.000697131617745282,0.07901234567901236,0.005335926946456765,0.04140202031684108,0.0013752239866336835,0.030988020535467075,0.0007825172592922528
clothing,Low,FIR-MIC,10,649.0,0.0,2.8397534668721107,0.0,0.43276637002756857,0.0,0.10616332819722649,0.0028550471719953345,0.0647889921401804,0.001793438482468554,0.052080428987208646,0.0017358940908093021,0.14591679506933747,0.003777745361773667,0.07479352568872202,0.0017326099154777147,0.054803356880641765,0.0017045587366672857
clothing,Low,Multi-interest per-item,10,649.0,0.0,2.8397534668721107,0.0,0.43276637002756857,0.0,0.1078582434514638,0.0038435104127107775,0.06348991068947482,0.001597660310039131,0.05001308484359331,0.0013779318466992162,0.14668721109399077,0.004751939807383824,0.07324004561588268,0.001894560139011555,0.05265428699508636,0.0014556419610195284
clothing,Medium,FIR-MIC,10,649.0,0.0,3.4206471494607085,4.681111291435602e-16,0.6019340089087494,0.0,0.0613251155624037,0.0022738514248771087,0.03937554842777443,0.0006441915855218366,0.032779550957517056,0.000493656461172177,0.08921417565485362,0.0035916042603075697,0.04640770041316184,0.0009896114175251408,0.034699402763756354,0.0006084457145186737
clothing,Medium,Multi-interest per-item,10,649.0,0.0,3.4206471494607085,4.681111291435602e-16,0.6019340089087494,0.0,0.055932203389830515,0.002817846271051917,0.034298468998199425,0.0018491170626665132,0.02771351529826106,0.002142935346417631,0.08505392912172573,0.0056169381055951985,0.04157362818117092,0.0022720943691052864,0.029665615110363402,0.0022394492606227358
clothing,Single-history,FIR-MIC,10,149.0,0.0,1.0,0.0,,,0.07114093959731545,0.004692657038792624,0.04585072881239312,0.0024054093511846706,0.037729040161926075,0.0030287469385829363,0.08053691275167785,0.006327577460282304,0.04819814434240247,0.0018420853545229904,0.03836011735428903,0.0028746283501525183
