dataset,scope,measure,n_seeds,n_users_mean,n_users_sd,mean_mean,mean_sd,median_mean,median_sd,std_mean,std_sd,ci95_low_mean,ci95_low_sd,ci95_high_mean,ci95_high_sd,pct_future_better_mean,pct_future_better_sd
clothing,Overall,delta_future_minus_past,5,2095.0,0.0,-0.06336400607605254,0.04898007361930517,-0.05603204965591431,0.04093053124998304,0.08307115151656752,0.021391944901852852,-0.06692324717050988,0.04975129939523734,-0.05980476498159522,0.04821393543101385,0.23770883054892603,0.16432219222034894
clothing,Overall,future_target_cosine,5,2095.0,0.0,0.825473798906035,0.0499512802674775,0.8399983882904053,0.03712847941307113,0.05784127409623505,0.019562841232778398,0.8229955494059299,0.050783584803070894,0.82795204840614,0.04911917566923644,,
clothing,Overall,past_target_cosine,5,2095.0,0.0,0.8888378049820875,0.018913288597613622,0.8975414991378784,0.017867776062798296,0.05709094668589432,0.012691202345528337,0.8863917037802114,0.019393129728422078,0.8912839061839636,0.018436996710017556,,
clothing,Q4-high,delta_future_minus_past,5,523.0,0.0,-0.014359605175587233,0.05418257473289021,-0.018417215347290038,0.055220812341575554,0.06629608550041839,0.013087284414378501,-0.020054599061005936,0.05516515525249744,-0.008664611290168532,0.05320560345090037,0.45774378585086045,0.3336495422503927
clothing,Q4-high,future_target_cosine,5,523.0,0.0,0.8277487111365135,0.04376059401071161,0.836873984336853,0.03755845910254666,0.04881215149938596,0.012248661324813875,0.8235556294149481,0.04480941006978282,0.8319417928580787,0.042711943896598076,,
clothing,Q4-high,past_target_cosine,5,523.0,0.0,0.8421083163121006,0.03030667111481711,0.8510780334472656,0.029134074406670183,0.05415128466085337,0.01381167677415605,0.8374565901550687,0.031061239271482775,0.8467600424691326,0.029580456396238596,,
baby,Overall,delta_future_minus_past,10,608.0,0.0,-0.019724879002100543,0.039384715915743704,-0.015815865993499757,0.03915705150884513,0.06716520258839156,0.015610471308806871,-0.025074308310085346,0.039821231826014485,-0.01437544969411574,0.03898298124571858,0.4115131578947368,0.195369076524063
baby,Overall,future_target_cosine,10,608.0,0.0,0.8808675804028386,0.05551659011781836,0.8921525359153748,0.055038241799406015,0.05063475436409781,0.0162063618192789,0.8768347326102417,0.05606170478209773,0.8849004281954356,0.054996372468813615,,
baby,Overall,past_target_cosine,10,608.0,0.0,0.9005924594049391,0.043060569645741065,0.9092969805002212,0.04403354054807654,0.0475443948594579,0.010338691209693787,0.8968057459061317,0.04353890056333635,0.9043791729037464,0.042592787424656095,,
baby,Q4-high,delta_future_minus_past,10,152.0,0.0,0.010344495251774787,0.05590451046746814,0.009453916549682617,0.05579897579196072,0.05762336832622065,0.01953279344489081,0.001109863292408035,0.05721135396845184,0.019579127211141543,0.054745657869331055,0.6006578947368422,0.308767724502862
baby,Q4-high,future_target_cosine,10,152.0,0.0,0.8774056933232043,0.06318923555063266,0.8833908557891845,0.06351754641042363,0.0437476562735646,0.017001186552461297,0.8703947615344874,0.06491144132194185,0.8844166251119214,0.06153950340339846,,
baby,Q4-high,past_target_cosine,10,152.0,0.0,0.8670611980714295,0.06209244203807805,0.8737928688526153,0.06405827760771671,0.04588306800994843,0.016377400335211872,0.8597080484978102,0.06397739892462041,0.8744143476450489,0.06026286062543226,,
