dataset,seed,trial,intents,dim,learning_rate,weight_decay,dropout,router_dropout,best_epoch,epochs_ran,validation_NDCG@10,validation_Recall@10,validation_MRR@10,validation_Recall@20,validation_NDCG@20,validation_MRR@20,lambda_z,lambda_next,lambda_fine,trial_seconds,intent_initialization
clothing,2022,1,32,64,0.0005,0.0001,0.15,0.1,7,12,0.03961952581740099,0.06690003889537145,0.03131478703240663,0.0941267989109296,0.04639967303148334,0.03312250719642405,0.1,0.2,0.2,809.307147507001,"{""fit_items"": ""warm-only"", ""intents"": 32, ""max_warm_cluster"": 776, ""min_warm_cluster"": 179}"
clothing,2022,2,32,64,0.001,0.0001,0.15,0.1,9,14,0.039310022365320406,0.06923376118241929,0.030240070876010203,0.08868144690781797,0.044173718396045225,0.03154648147702976,0.05,0.2,0.2,942.7281630899997,"{""fit_items"": ""warm-only"", ""intents"": 32, ""max_warm_cluster"": 776, ""min_warm_cluster"": 179}"
clothing,2022,3,64,64,0.0005,0.0001,0.15,0.1,8,13,0.04020090978651136,0.07156748346946713,0.03069261543590598,0.09218203033838973,0.045384481460548874,0.032101244552158716,0.05,0.2,0.2,873.5582019309986,"{""fit_items"": ""warm-only"", ""intents"": 64, ""max_warm_cluster"": 467, ""min_warm_cluster"": 29}"
clothing,2022,4,64,64,0.001,0.0001,0.15,0.1,5,10,0.04043665100700065,0.07156748346946713,0.03101010662270872,0.09101516919486581,0.045275203571396076,0.032298112664003106,0.1,0.2,0.2,669.6051243210004,"{""fit_items"": ""warm-only"", ""intents"": 64, ""max_warm_cluster"": 467, ""min_warm_cluster"": 29}"
clothing,2024,1,32,64,0.0005,0.0001,0.15,0.1,6,11,0.039556649118804556,0.07117852975495916,0.029923968809616418,0.09218203033838973,0.04478068640010433,0.031311922378615895,0.1,0.2,0.2,747.9100715630011,"{""fit_items"": ""warm-only"", ""intents"": 32, ""max_warm_cluster"": 1095, ""min_warm_cluster"": 179}"
clothing,2024,2,32,64,0.001,0.0001,0.15,0.1,3,8,0.03933957688513129,0.06962271489692727,0.030102084915387132,0.08984830805134189,0.044430607773739174,0.03148780621803732,0.2,0.2,0.1,541.4167684399981,"{""fit_items"": ""warm-only"", ""intents"": 32, ""max_warm_cluster"": 1095, ""min_warm_cluster"": 179}"
clothing,2024,3,64,64,0.0005,0.0001,0.15,0.1,7,12,0.03977414647476703,0.07001166861143523,0.030607724744247496,0.0941267989109296,0.04577074769547729,0.0322019023373919,0.05,0.2,0.2,811.4338581789998,"{""fit_items"": ""warm-only"", ""intents"": 64, ""max_warm_cluster"": 493, ""min_warm_cluster"": 74}"
clothing,2024,4,64,64,0.001,0.0001,0.15,0.1,4,9,0.03975728359630868,0.06923376118241929,0.0307977255468504,0.08984830805134189,0.04495929091418739,0.032220185049462065,0.0,0.2,0.2,607.3372854079971,"{""fit_items"": ""warm-only"", ""intents"": 64, ""max_warm_cluster"": 493, ""min_warm_cluster"": 74}"
clothing,2023,1,32,64,0.0005,0.0001,0.15,0.1,4,9,0.04060596462654234,0.07117852975495916,0.031370043155340706,0.0941267989109296,0.04636267122786277,0.032925082443616756,0.1,0.2,0.2,604.3233339630006,"{""fit_items"": ""warm-only"", ""intents"": 32, ""max_warm_cluster"": 731, ""min_warm_cluster"": 186}"
clothing,2023,2,32,64,0.001,0.0001,0.15,0.1,4,9,0.03984550625005907,0.07001166861143523,0.030644922301865125,0.09373784519642163,0.045744054478240474,0.03221289680967945,0.05,0.2,0.2,598.5283850580017,"{""fit_items"": ""warm-only"", ""intents"": 32, ""max_warm_cluster"": 731, ""min_warm_cluster"": 186}"
