dataset,seed,model,Recall@10,NDCG@10,MRR@10,Recall@20,NDCG@20,MRR@20
baby,2022,Static score-level,0.03125,0.012564188808147247,0.007151341896407686,0.06907894736842106,0.02224377135265653,0.009865406764084865
baby,2022,Multi-interest per-item,0.039473684210526314,0.015390630019266698,0.008411654135338346,0.0756578947368421,0.024265816894094693,0.01070202811198768
baby,2022,Multi-interest clustered,0.03453947368421053,0.013968655900813805,0.007958698830409356,0.07236842105263158,0.023530798349918624,0.010578659396600267
baby,2023,Static score-level,0.03782894736842105,0.015911401410595397,0.009420034461152882,0.07236842105263158,0.024628574472447828,0.011800512403731098
baby,2023,Multi-interest per-item,0.03618421052631579,0.017559697192363805,0.011889750417710943,0.07072368421052631,0.02608744223059798,0.014123780140805458
baby,2023,Multi-interest clustered,0.03453947368421053,0.016296119131400968,0.010701232247284878,0.0625,0.023407917204679368,0.0126778623759666
baby,2024,Static score-level,0.03453947368421053,0.013541379184014666,0.0074894266917293235,0.06578947368421052,0.021413930688925824,0.009635115934445309
baby,2024,Multi-interest per-item,0.04276315789473684,0.020731080485870027,0.014110797827903091,0.06578947368421052,0.02634685367518748,0.015542781576992612
baby,2024,Multi-interest clustered,0.044407894736842105,0.02193828485452322,0.01513875835421888,0.06743421052631579,0.027531405391782303,0.016553518614722682
baby,2025,Static score-level,0.03125,0.01309415540542226,0.007736789891395155,0.05098684210526316,0.018062028438115208,0.009086037532728708
baby,2025,Multi-interest per-item,0.03125,0.013956694759193474,0.008867220133667501,0.05921052631578947,0.020807831183776365,0.010633710314374217
baby,2025,Multi-interest clustered,0.027960526315789474,0.012901283017133358,0.008285035505430242,0.046052631578947366,0.01728245702589267,0.009386867961013512
baby,2026,Static score-level,0.018092105263157895,0.008687766709991138,0.0058153195488721806,0.05921052631578947,0.019003785229069738,0.008602903662837263
baby,2026,Multi-interest per-item,0.046052631578947366,0.020948110815144,0.013527307852965747,0.07894736842105263,0.029210128542455662,0.015763304293428947
baby,2026,Multi-interest clustered,0.04111842105263158,0.018635820846799017,0.01185515873015873,0.0805921052631579,0.028608618689442353,0.014583975698488592
baby,2027,Static score-level,0.03125,0.012292857531501378,0.006785844820384294,0.05921052631578947,0.019211691884626465,0.0086057823693018
baby,2027,Multi-interest per-item,0.04111842105263158,0.019643628064613016,0.013198360484544694,0.0756578947368421,0.02848321332730307,0.015683235923874165
baby,2027,Multi-interest clustered,0.03453947368421053,0.014502257352192046,0.008606803467000835,0.07236842105263158,0.023666357376278407,0.010912880229754313
baby,2028,Static score-level,0.029605263157894735,0.015714718913387576,0.011620196324143692,0.05921052631578947,0.02308693834331178,0.01358637750419922
baby,2028,Multi-interest per-item,0.03289473684210526,0.015959300473999034,0.010968828320802005,0.06085526315789474,0.022936343097130142,0.012837162596944453
baby,2028,Multi-interest clustered,0.03125,0.01484339053802915,0.009948047201336675,0.06085526315789474,0.022333945323630398,0.012005857642212946
baby,2029,Static score-level,0.03289473684210526,0.01271636050848116,0.006948360484544695,0.0625,0.020148942689627237,0.008954517677669768
baby,2029,Multi-interest per-item,0.039473684210526314,0.01977564334854973,0.013858213241436925,0.07236842105263158,0.02803547295644222,0.016095639532375722
baby,2029,Multi-interest clustered,0.039473684210526314,0.018585094482492428,0.01236685463659148,0.0625,0.02420321283958936,0.013804083631819087
baby,2030,Static score-level,0.04111842105263158,0.01728867723783339,0.010114478905597326,0.07072368421052631,0.02464589954126716,0.012067275117281737
baby,2030,Multi-interest per-item,0.044407894736842105,0.019281382019289247,0.011750730994152046,0.06414473684210527,0.024171341490899834,0.013042388800151652
baby,2030,Multi-interest clustered,0.04276315789473684,0.018340262206194894,0.011038011695906434,0.07072368421052631,0.025266944171382876,0.012867978863999416
baby,2031,Static score-level,0.03289473684210526,0.014385465990435475,0.008882231620718462,0.05921052631578947,0.020961613605649344,0.010646560316403583
baby,2031,Multi-interest per-item,0.044407894736842105,0.020964969884515662,0.013979610484544696,0.06743421052631579,0.026726372787950033,0.015535348527789358
baby,2031,Multi-interest clustered,0.044407894736842105,0.020097660047024055,0.012810019841269843,0.06743421052631579,0.025771977981546616,0.014292334315796004
clothing,2022,Static score-level,0.0639618138424821,0.03712917230601386,0.0289099140053794,0.09212410501193317,0.04427604295479817,0.030885850180370523
clothing,2022,Multi-interest per-item,0.0730310262529833,0.043071703492351274,0.033912755237337576,0.1035799522673031,0.05070461045687517,0.03596041876595236
clothing,2022,Multi-interest clustered,0.07350835322195703,0.0440475720148423,0.034997158768041825,0.1054892601431981,0.052030040676256294,0.03713151607393389
clothing,2023,Static score-level,0.06109785202863962,0.037370159805152105,0.030050005682463916,0.09307875894988067,0.04527464116772252,0.032127570936821184
clothing,2023,Multi-interest per-item,0.07494033412887828,0.04467691098226257,0.03546747736485207,0.10501193317422435,0.052232655285769536,0.03751752738519107
clothing,2023,Multi-interest clustered,0.0730310262529833,0.04381737311577485,0.0349507519793916,0.10119331742243437,0.050922817684943715,0.03688934283437265
clothing,2022,FIR-MIC,0.07159904534606205,0.04597837260925145,0.038001477440618256,0.10023866348448687,0.053222988755984524,0.03999144775381134
clothing,2023,FIR-MIC,0.0720763723150358,0.04549704728018977,0.03737451225518051,0.09880668257756563,0.05225948982019491,0.03923478728354705
baby,2026,FIR-MIC,0.046052631578947366,0.02578112961521964,0.019544956140350876,0.07401315789473684,0.03279316614973452,0.02144462397264306
baby,2028,FIR-MIC,0.047697368421052634,0.0255478211774391,0.018801561194653302,0.06743421052631579,0.030487399535376807,0.02013146190873246
baby,2029,FIR-MIC,0.05098684210526316,0.027512737093438325,0.02049394319131161,0.0756578947368421,0.03364530178206822,0.022118067897128307
baby,2031,FIR-MIC,0.05098684210526316,0.02853124973204064,0.021808427318295742,0.0805921052631579,0.035892264195078176,0.023763349653442532
baby,2030,FIR-MIC,0.047697368421052634,0.026410316911239542,0.019980289264828737,0.08223684210526316,0.03478339527537892,0.022086912342801315
baby,2022,FIR-MIC,0.047697368421052634,0.025125171995646175,0.018241567460317458,0.0756578947368421,0.03201358251377296,0.020035884157133855
baby,2025,FIR-MIC,0.049342105263157895,0.0255161734807758,0.018324456975772764,0.07072368421052631,0.03095521102568735,0.019831536623319556
baby,2024,FIR-MIC,0.047697368421052634,0.025836370616587074,0.01923167293233083,0.07072368421052631,0.03166697641941502,0.02083422300331519
baby,2027,FIR-MIC,0.047697368421052634,0.02619083694875737,0.019685933583959897,0.07401315789473684,0.032747343025581306,0.021434429005501496
baby,2023,FIR-MIC,0.047697368421052634,0.025953904718593487,0.01942943295739348,0.07894736842105263,0.0336513637777841,0.02143266513136258
clothing,2022,SEMCO,0.05441527446300716,0.03004927704528772,0.022750501950979277,0.0873508353221957,0.03837000454075027,0.02503225937599021
clothing,2022,CLCREC,0.03341288782816229,0.01795078888174024,0.013346781831268703,0.043914081145584725,0.020617299463583986,0.014086457534295152
clothing,2023,SEMCO,0.06109785202863962,0.032167799577371224,0.02339565102094935,0.09928400954653938,0.041763940258242434,0.025999903573590003
clothing,2023,CLCREC,0.03198090692124105,0.019619782255195506,0.015922642724552034,0.0486873508353222,0.02383322827308956,0.01707363052322302
baby,2028,SEMCO,0.049342105263157895,0.024131566645403103,0.016752819548872182,0.08552631578947369,0.033108938608298354,0.01912549907008468
baby,2028,CLCREC,0.024671052631578948,0.009413687953630815,0.0050719246031746025,0.047697368421052634,0.01534008969220342,0.006756370985508797
baby,2026,SEMCO,0.04111842105263158,0.017859273440374624,0.01093032059314954,0.06578947368421052,0.02406276915467837,0.012620865950694246
baby,2026,CLCREC,0.027960526315789474,0.013875377527603278,0.009705905388471178,0.054276315789473686,0.020507880675394406,0.011516397430410283
baby,2024,SEMCO,0.04276315789473684,0.01914595920764404,0.012307461361737678,0.07730263157894737,0.02785823114433384,0.014691486686914014
baby,2024,CLCREC,0.023026315789473683,0.009408515347073784,0.005297096908939014,0.05098684210526316,0.01636519884605033,0.0071476643649020215
baby,2029,SEMCO,0.04111842105263158,0.01944617357643145,0.012849180242272348,0.0805921052631579,0.02939268137987961,0.015564717818210975
baby,2029,CLCREC,0.027960526315789474,0.017165047037504468,0.01386343462823726,0.049342105263157895,0.022625321974416312,0.015391173897594987
baby,2030,SEMCO,0.03289473684210526,0.016783848829804524,0.011736372180451128,0.06907894736842106,0.025883730626506257,0.01420354784879135
baby,2030,CLCREC,0.03782894736842105,0.015218553827867175,0.008594402673350042,0.07072368421052631,0.02343411336436904,0.010795373492945596
baby,2031,SEMCO,0.044407894736842105,0.019814073609760147,0.012593332289055972,0.07730263157894737,0.027902915788245365,0.014690757666509256
baby,2031,CLCREC,0.024671052631578948,0.010606922976591063,0.006309393274853801,0.05098684210526316,0.01716863853834318,0.008057472758263047
baby,2027,SEMCO,0.049342105263157895,0.02279140647153541,0.014893353174603175,0.0805921052631579,0.030588456986779974,0.016976909981686338
baby,2027,CLCREC,0.013157894736842105,0.007866900729234821,0.006229114452798663,0.039473684210526314,0.014378242783955686,0.007937985039352767
baby,2025,SEMCO,0.046052631578947366,0.022951047725524615,0.015984623015873018,0.07730263157894737,0.03058905653559963,0.017943886118419173
baby,2025,CLCREC,0.014802631578947368,0.0071409315957971535,0.0048193400167084385,0.039473684210526314,0.013313319677459386,0.006477167510207371
baby,2022,SEMCO,0.03618421052631579,0.019278905635594243,0.014296809732664997,0.06414473684210527,0.026187432770103596,0.01610654345462171
baby,2022,CLCREC,0.024671052631578948,0.015049156727872492,0.012145598370927319,0.05098684210526316,0.021660395436874175,0.013933454514408153
baby,2023,SEMCO,0.03289473684210526,0.015487271506449702,0.010263288429406851,0.05592105263157895,0.02137425238287507,0.011914674396279313
baby,2023,CLCREC,0.027960526315789474,0.013129399455287303,0.008690998329156223,0.054276315789473686,0.01973324333544854,0.010482418133563338
