dataset,seed,trial,intents,dim,learning_rate,weight_decay,dropout,router_dropout,best_epoch,search_max_epochs,grid_patience,search_seconds,completed_trials,total_trials,selection_split,selection_metric,selected_validation_Recall@10,selected_validation_NDCG@10,selected_validation_MRR@10,selected_validation_Recall@20,selected_validation_NDCG@20,selected_validation_MRR@20,confirmatory_validation_Recall@10,confirmatory_validation_NDCG@10,confirmatory_validation_MRR@10,confirmatory_validation_Recall@20,confirmatory_validation_NDCG@20,confirmatory_validation_MRR@20,locked_lambda_z,locked_lambda_next,locked_lambda_fine,search_space
clothing,2022,4,64,64,0.001,0.0001,0.15,0.1,5,500,5,3295.1986368489997,4,4,validation only,"lexicographic NDCG@10, Recall@10, MRR@10; earlier epoch tie-break",0.07156748346946713,0.04043665100700065,0.03101010662270872,0.09101516919486581,0.045275203571396076,0.032298112664003106,0.07156748346946713,0.04043665100700065,0.03101010662270872,0.09101516919486581,0.045275203571396076,0.032298112664003106,0.1,0.2,0.2,"{""dims"": [64], ""dropouts"": [0.15], ""intents"": [32, 64], ""learning_rates"": [0.0005, 0.001], ""router_dropouts"": [0.1], ""weight_decays"": [0.0001]}"
clothing,2024,3,64,64,0.0005,0.0001,0.15,0.1,7,500,5,2708.097983589996,4,4,validation only,"lexicographic NDCG@10, Recall@10, MRR@10; earlier epoch tie-break",0.07001166861143523,0.03977414647476703,0.030607724744247496,0.0941267989109296,0.04577074769547729,0.0322019023373919,0.07001166861143523,0.03977414647476703,0.030607724744247496,0.0941267989109296,0.04577074769547729,0.0322019023373919,0.05,0.2,0.2,"{""dims"": [64], ""dropouts"": [0.15], ""intents"": [32, 64], ""learning_rates"": [0.0005, 0.001], ""router_dropouts"": [0.1], ""weight_decays"": [0.0001]}"
clothing,2023,1,32,64,0.0005,0.0001,0.15,0.1,4,500,5,2537.805161014001,4,4,validation only,"lexicographic NDCG@10, Recall@10, MRR@10; earlier epoch tie-break",0.07117852975495916,0.04060596462654234,0.031370043155340706,0.0941267989109296,0.04636267122786277,0.032925082443616756,0.07117852975495916,0.04060596462654234,0.031370043155340706,0.0941267989109296,0.04636267122786277,0.032925082443616756,0.1,0.2,0.2,"{""dims"": [64], ""dropouts"": [0.15], ""intents"": [32, 64], ""learning_rates"": [0.0005, 0.001], ""router_dropouts"": [0.1], ""weight_decays"": [0.0001]}"
baby,2026,4,64,64,0.001,0.0001,0.15,0.1,3,500,5,391.0423335809992,4,4,validation only,"lexicographic NDCG@10, Recall@10, MRR@10; earlier epoch tie-break",0.09172932330827067,0.052790979086040496,0.04112781954887218,0.12631578947368421,0.06123444176834807,0.043283759700342955,0.09172932330827067,0.052790979086040496,0.04112781954887218,0.12631578947368421,0.06123444176834807,0.043283759700342955,0.05,0.1,0.2,"{""dims"": [64], ""dropouts"": [0.15], ""intents"": [32, 64], ""learning_rates"": [0.0005, 0.001], ""router_dropouts"": [0.1], ""weight_decays"": [0.0001]}"
baby,2028,2,32,64,0.001,0.0001,0.15,0.1,3,500,5,339.3247171060011,4,4,validation only,"lexicographic NDCG@10, Recall@10, MRR@10; earlier epoch tie-break",0.08721804511278196,0.05241460829446505,0.0418999880654016,0.11578947368421053,0.059529148657579016,0.04378982855693207,0.08721804511278196,0.05241460829446505,0.0418999880654016,0.11578947368421053,0.059529148657579016,0.04378982855693207,0.1,0.1,0.2,"{""dims"": [64], ""dropouts"": [0.15], ""intents"": [32, 64], ""learning_rates"": [0.0005, 0.001], ""router_dropouts"": [0.1], ""weight_decays"": [0.0001]}"
baby,2029,4,64,64,0.001,0.0001,0.15,0.1,2,500,5,454.0105206019998,4,4,validation only,"lexicographic NDCG@10, Recall@10, MRR@10; earlier epoch tie-break",0.0887218045112782,0.053720223645786394,0.04307315908819668,0.12330827067669173,0.06212243657448414,0.04520152726582112,0.0887218045112782,0.053720223645786394,0.04307315908819668,0.12330827067669173,0.06212243657448414,0.04520152726582112,0.05,0.2,0.2,"{""dims"": [64], ""dropouts"": [0.15], ""intents"": [32, 64], ""learning_rates"": [0.0005, 0.001], ""router_dropouts"": [0.1], ""weight_decays"": [0.0001]}"
baby,2031,1,32,64,0.0005,0.0001,0.15,0.1,7,500,5,499.5405217630014,4,4,validation only,"lexicographic NDCG@10, Recall@10, MRR@10; earlier epoch tie-break",0.0887218045112782,0.052708353975619224,0.04177586824203366,0.12631578947368421,0.06193657668928479,0.04416115924315603,0.0887218045112782,0.052708353975619224,0.04177586824203366,0.12631578947368421,0.06193657668928479,0.04416115924315603,0.0,0.2,0.2,"{""dims"": [64], ""dropouts"": [0.15], ""intents"": [32, 64], ""learning_rates"": [0.0005, 0.001], ""router_dropouts"": [0.1], ""weight_decays"": [0.0001]}"
baby,2030,2,32,64,0.001,0.0001,0.15,0.1,4,500,5,319.74279907399887,4,4,validation only,"lexicographic NDCG@10, Recall@10, MRR@10; earlier epoch tie-break",0.09022556390977443,0.053409869272328075,0.04226279985678482,0.12330827067669173,0.06142083578208191,0.044278593563609504,0.09022556390977443,0.053409869272328075,0.04226279985678482,0.12330827067669173,0.06142083578208191,0.044278593563609504,0.0,0.2,0.2,"{""dims"": [64], ""dropouts"": [0.15], ""intents"": [32, 64], ""learning_rates"": [0.0005, 0.001], ""router_dropouts"": [0.1], ""weight_decays"": [0.0001]}"
baby,2022,3,64,64,0.0005,0.0001,0.15,0.1,7,500,5,382.2318018819999,4,4,validation only,"lexicographic NDCG@10, Recall@10, MRR@10; earlier epoch tie-break",0.0887218045112782,0.05239436123890738,0.041398734932569514,0.12180451127819548,0.06052259183785066,0.043507264576016176,0.0887218045112782,0.05239436123890738,0.041398734932569514,0.12180451127819548,0.06052259183785066,0.043507264576016176,0.0,0.1,0.1,"{""dims"": [64], ""dropouts"": [0.15], ""intents"": [32, 64], ""learning_rates"": [0.0005, 0.001], ""router_dropouts"": [0.1], ""weight_decays"": [0.0001]}"
baby,2025,1,32,64,0.0005,0.0001,0.15,0.1,4,500,5,382.66723377499966,4,4,validation only,"lexicographic NDCG@10, Recall@10, MRR@10; earlier epoch tie-break",0.09022556390977443,0.05349367990725638,0.04245733381071727,0.12030075187969924,0.0608777237665855,0.04436680023629208,0.09022556390977443,0.05349367990725638,0.04245733381071727,0.12030075187969924,0.0608777237665855,0.04436680023629208,0.0,0.1,0.2,"{""dims"": [64], ""dropouts"": [0.15], ""intents"": [32, 64], ""learning_rates"": [0.0005, 0.001], ""router_dropouts"": [0.1], ""weight_decays"": [0.0001]}"
