dataset,scope,variant,n_seeds,n_users_mean,n_users_sd,Recall@10_mean,Recall@10_sd,NDCG@10_mean,NDCG@10_sd,MRR@10_mean,MRR@10_sd,Recall@20_mean,Recall@20_sd,NDCG@20_mean,NDCG@20_sd,MRR@20_mean,MRR@20_sd
baby,Overall,FIR-MIC full,10,608.0,0.0,0.04835526315789475,0.0015889667484856834,0.02624057122897372,0.0010329200080504137,0.019554224101921466,0.0010585617651389858,0.075,0.004664922672408476,0.03286360036998774,0.0016849411993964925,0.021311315369538033,0.001190175877809945
baby,Overall,Future-only,10,608.0,0.0,0.020559210526315787,0.004470807683744543,0.009120190567162784,0.0021121065549266323,0.005727143379281536,0.0015152786207912764,0.04226973684210526,0.0054301230326378866,0.014534543585665851,0.002063920684285472,0.007174641859513083,0.0014457515779730684
baby,Overall,Past+Future,10,608.0,0.0,0.023355263157894733,0.005189543669385628,0.010691683407090539,0.0022359730962377873,0.0069612834168755215,0.0016161300634458752,0.048848684210526315,0.009869943839625079,0.01705636395110473,0.003397443118089696,0.008664946212989843,0.0018990086248947323
baby,Overall,Past-only,10,608.0,0.0,0.024177631578947374,0.005087175749851774,0.011011549211850888,0.0024096008670976467,0.007121645258980786,0.00175101014645002,0.05016447368421053,0.009535376716516495,0.017494379985800397,0.003302030166453595,0.008856026178103079,0.0019184005612316274
baby,Q4-high,FIR-MIC full,10,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baby,Q4-high,Future-only,10,152.0,0.0,0.05460526315789473,0.016129978551257276,0.025871605450643632,0.00752591945466456,0.017276002506265663,0.00541382883893157,0.10131578947368422,0.010379087338771254,0.03764752609432124,0.005856872205185859,0.020490354919305342,0.00505668795235879
baby,Q4-high,Past+Future,10,152.0,0.0,0.03421052631578947,0.014808721943977306,0.016634114164149207,0.006523771638968476,0.011402725563909775,0.005012884401592541,0.07105263157894735,0.02496534994869773,0.025919330862421246,0.009614531923703245,0.013933760258715447,0.005922611228644367
baby,Q4-high,Past-only,10,152.0,0.0,0.032236842105263154,0.017113695627304096,0.015555643042466899,0.007856473491722525,0.01057200292397661,0.005682385175445356,0.06710526315789475,0.02700130521337085,0.02439171131994151,0.010498721496491607,0.013007458787613991,0.006403477994601382
clothing,Overall,FIR-MIC full,9,2095.0,0.0,0.07223548130469372,0.0010936934832830147,0.04571860699228337,0.0005833442846039881,0.03758173277266356,0.0006142533588104298,0.09976133651551312,0.0013710173380759064,0.05266655709081182,0.0006320190951422525,0.03948273287007336,0.0006339766643335566
clothing,Overall,Future-only,9,2095.0,0.0,0.004614160700079555,0.0012852421974068027,0.0021004035931205993,0.0005464925106126325,0.0013526789660441212,0.00034720541708612617,0.009387430389817025,0.0014712205257682524,0.003298769532102269,0.0005699276996456667,0.0016772155119884615,0.00035102385880107903
clothing,Overall,Past+Future,9,2095.0,0.0,0.010182975338106602,0.006084748822903084,0.004783233839683084,0.0033431667018208365,0.003168415602783145,0.002509316500683295,0.019358260408379742,0.01156499099197317,0.007075865763017548,0.004708639512845273,0.003783413830506151,0.002871827643318175
clothing,Overall,Past-only,9,2095.0,0.0,0.011296738265712012,0.007139988210812215,0.005279651873320543,0.0035888758125259346,0.003489095983129396,0.0025268000269374454,0.02100238663484487,0.011150975070380589,0.007691705100026423,0.004543973068878617,0.004129398452507925,0.0027677441314652254
clothing,Q4-high,FIR-MIC full,9,523.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clothing,Q4-high,Future-only,9,523.0,0.0,0.012959422137242405,0.0049471557349458324,0.006199793814490845,0.0021422382246385385,0.004174043386917829,0.0013907896807178876,0.02591884427448481,0.006054811982154238,0.009463248624583247,0.0022797556550065027,0.005063086967343588,0.00138502653996169
clothing,Q4-high,Past+Future,9,523.0,0.0,0.006798385383471426,0.005068825277433673,0.003810498497060137,0.0025093988455930473,0.002876246454959011,0.0017702427027802695,0.012746972594008922,0.008657155963802501,0.005281777666101105,0.003304205356735009,0.00326257783039429,0.001946466463893112
clothing,Q4-high,Past-only,9,523.0,0.0,0.00616103675377098,0.004562721817487684,0.003235852085801106,0.0023924761291079792,0.0023397270529201698,0.0018309432960796012,0.011047376248141068,0.00864541744184228,0.004459399727535237,0.00340923706174085,0.0026692494894372605,0.0020942872524995484
