dataset,baseline,metric,n_seeds,mean_paired_difference,relative_improvement_pct,std_paired_difference,ci95_low,ci95_high,paired_t_p,wilcoxon_p,effect_size_cohens_dz,effect_size_pooled_sd,holm_adjusted_paired_t_p,holm_adjusted_wilcoxon_p
clothing,Multi-interest per-item,Recall@10,8,-0.002088305489260145,-2.818035426731081,0.001612398510443345,-0.0034363043779953636,-0.000740306600524926,0.008035671195931115,0.015625,-1.2951546877117521,-1.4017633258262736,0.04017835597965557,0.078125
clothing,Multi-interest per-item,NDCG@10,8,0.0012162379941067034,2.738856033951236,0.0009577905618886201,0.0004155050458283402,0.0020169709423850666,0.008837760497906598,0.015625,1.2698371047929973,1.5683844268633307,0.04017835597965557,0.078125
clothing,Multi-interest per-item,MRR@10,8,0.002074738606659848,5.85522798952264,0.001069164919907481,0.0011808943649446392,0.0029685828483750564,0.0009175322681448022,0.0078125,1.9405225218569488,2.572475818797803,0.00825779041330322,0.0703125
clothing,Multi-interest per-item,Recall@20,8,-0.002804295942720766,-2.732558139534886,0.0037709046338077613,-0.00595685111005448,0.00034825922461294767,0.07350051788685094,0.1015625,-0.7436666304363845,-1.1702036360265458,0.14744458278471945,0.234375
clothing,Multi-interest per-item,NDCG@20,8,0.0010434081543271726,2.022197056399331,0.0012419282806780015,5.130128516747049e-06,0.002081686180137598,0.04914819426157315,0.078125,0.8401516984197739,1.1962023379027336,0.14744458278471945,0.234375
clothing,Multi-interest per-item,MRR@20,8,0.0020313272478584814,5.4317273959639065,0.001108647169075843,0.0011044750198055246,0.0029581794759114383,0.001277496547538214,0.0078125,1.832257642033917,2.470864309065089,0.010219972380305711,0.0703125
baby,SEMCO,Recall@10,10,0.006743421052631579,16.20553359683795,0.005978140163830694,0.0024669172014690263,0.011019924903794132,0.0060517287207741645,0.009765625,1.1280132060855705,1.522701773051825,0.037541638681897145,0.0703125
baby,SEMCO,NDCG@10,10,0.00647161856412153,32.73627426721303,0.003096547390672554,0.004256482003483744,0.008686755124759315,9.825396113961157e-05,0.001953125,2.0899465590662016,3.0789961212369383,0.0010807935725357272,0.0234375
baby,SEMCO,MRR@10,10,0.00629346804511278,47.459345591999046,0.0027813287848500886,0.0043038252910461115,0.008283110799179448,5.334613760168414e-05,0.001953125,2.262755873880618,3.71344974884085,0.0006401536512202097,0.0234375
baby,SEMCO,Recall@20,10,0.0016447368421052592,2.242152466367708,0.012332480130703939,-0.00717738798735779,0.010466861671568309,0.6831088136440149,0.6953125,0.1333662673423158,0.2252394441818136,0.6831088136440149,0.6953125
baby,SEMCO,NDCG@20,10,0.005168753832257731,18.663233339156047,0.004484832708125815,0.0019604977822975404,0.008377009882217921,0.0053630912402710205,0.009765625,1.1524964627761383,1.8996436723011785,0.037541638681897145,0.0703125
baby,SEMCO,MRR@20,10,0.005927426470316929,38.53009150772687,0.0030208599830520116,0.003766433419416853,0.008088419521217005,0.00015793215832577933,0.001953125,1.9621652455167347,3.2902698211123065,0.0015793215832577933,0.0234375
