trial,intents,dim,learning_rate,weight_decay,dropout,router_dropout,epoch,loss,rank_loss,next_loss,route_loss,validation_lambda_z,validation_lambda_next,validation_lambda_fine,validation_Recall@10,validation_NDCG@10,validation_MRR@10,validation_Recall@20,validation_NDCG@20,validation_MRR@20
1,32,64,0.0005,0.0001,0.15,0.1,1,33.967507068927475,33.15285961444561,3.506079371158893,0.7895056926287137,0.0,0.2,0.2,0.09022556390977443,0.052592406658312975,0.04121016827783745,0.12481203007518797,0.0610878436885128,0.043410909779714915
1,32,64,0.0005,0.0001,0.15,0.1,2,32.40197101006141,31.61801653641921,3.412859788307777,0.7431871203275827,0.0,0.1,0.2,0.08421052631578947,0.05056686380806457,0.040324621076500776,0.12330827067669173,0.060291740836094024,0.042911593813151114
1,32,64,0.0005,0.0001,0.15,0.1,3,31.3352449123676,30.555233075068546,3.43703307555272,0.6871466865906348,0.05,0.1,0.1,0.08721804511278196,0.05210159966074179,0.041452440625372955,0.12180451127819548,0.06056117822934608,0.043627205442482796
1,32,64,0.0005,0.0001,0.15,0.1,4,30.796980491051308,30.023091242863583,3.433640535061176,0.638546326985726,0.0,0.1,0.2,0.08421052631578947,0.05067560405043431,0.040466642797469865,0.11729323308270677,0.05888644056113187,0.04264036877301851
1,32,64,0.0005,0.0001,0.15,0.1,5,30.52026660625751,29.750023034902718,3.43890891625331,0.597995822246258,0.05,0.05,0.05,0.08421052631578947,0.051262206115529806,0.0412734216493615,0.12030075187969924,0.060191401892510085,0.043621415034448385
1,32,64,0.0005,0.0001,0.15,0.1,6,29.739791356600247,28.973751068115234,3.4353052377700806,0.5632690649766189,0.1,0.1,0.1,0.08571428571428572,0.05215584297229552,0.041960257787325456,0.11879699248120301,0.06039068187987063,0.04414988891035819
2,32,64,0.001,0.0001,0.15,0.1,1,33.60595519726093,32.80113242222713,3.469324130278367,0.7679326648895557,0.0,0.2,0.2,0.09172932330827067,0.052565329186202256,0.04082050364005251,0.11879699248120301,0.05922342450305357,0.04254851649122931
2,32,64,0.001,0.0001,0.15,0.1,2,31.968623161315918,31.192073015066292,3.4157667618531447,0.671753663283128,0.1,0.1,0.0,0.08571428571428572,0.05162294462734707,0.041235827664399094,0.12030075187969924,0.06011387273052355,0.043433387521820674
2,32,64,0.001,0.0001,0.15,0.1,3,30.81004993732159,30.04149473630465,3.4401982564192553,0.5670616007768191,0.0,0.2,0.2,0.0887218045112782,0.05155026190262632,0.040370569280343716,0.11729323308270677,0.0585698745721833,0.042189614495883265
2,32,64,0.001,0.0001,0.15,0.1,4,30.25171918135423,29.491618376511795,3.44207515166356,0.48260783690672654,0.05,0.05,0.2,0.08421052631578947,0.051856286605630575,0.041965628356605805,0.12180451127819548,0.06117967802053627,0.044430195397222094
2,32,64,0.001,0.0001,0.15,0.1,5,29.969809752244217,29.214824749873234,3.455170759787926,0.416939201263281,0.1,0.05,0.2,0.08571428571428572,0.051881008281803476,0.041667263396586704,0.12180451127819548,0.060838633073643456,0.04403551348155505
2,32,64,0.001,0.0001,0.15,0.1,6,29.190296173095703,28.440182979290302,3.4590060802606435,0.3647261686049975,0.1,0.05,0.2,0.08421052631578947,0.05232770699248283,0.042636352786728726,0.12330827067669173,0.062025691409995226,0.04519654082632737
3,64,64,0.0005,0.0001,0.15,0.1,1,33.93143609853891,32.98910507789025,4.270299324622521,0.5636559862356919,0.2,0.0,0.2,0.081203007518797,0.05072187769024032,0.041356367108246805,0.11729323308270677,0.059775797124234274,0.04380274781331602
