dataset,seed,group,n_users,average_history_length,average_interest_diversity,model,Recall@10,NDCG@10,MRR@10,Recall@20,NDCG@20,MRR@20
baby,2022,1,87,1.0,,Multi-interest per-item,0.034482758620689655,0.014157546594682465,0.007982120051085569,0.11494252873563218,0.03395906158586108,0.0131368891577603
baby,2022,1,87,1.0,,FIR-MIC,0.034482758620689655,0.017152676663428085,0.011494252873563218,0.06896551724137931,0.025223895512773327,0.013376352759292868
baby,2022,2-3,408,2.321078431372549,0.7078592446176153,Multi-interest per-item,0.031862745098039214,0.012417728411429007,0.006857882041705572,0.051470588235294115,0.017131572015065922,0.00802222419755656
baby,2022,2-3,408,2.321078431372549,0.7078592446176153,FIR-MIC,0.049019607843137254,0.024106280844988327,0.016685146280734513,0.07107843137254902,0.029625903219432866,0.018171343653951556
baby,2022,4-5,79,4.329113924050633,0.7120863282227818,Multi-interest per-item,0.0759493670886076,0.030696202241980122,0.017314647377938516,0.1518987341772152,0.04981419159401669,0.022507145308610997
baby,2022,4-5,79,4.329113924050633,0.7120863282227818,FIR-MIC,0.0759493670886076,0.04998049517568851,0.04156118143459916,0.11392405063291139,0.059338736748301826,0.0439873417721519
baby,2022,>=6,34,7.617647058823529,0.7146637001458336,Multi-interest per-item,0.058823529411764705,0.01865774497050925,0.007469654528478057,0.08823529411764706,0.025711052810748408,0.009199758334706432
baby,2022,>=6,34,7.617647058823529,0.7146637001458336,FIR-MIC,0.0,0.0,0.0,0.058823529411764705,0.014548545356418412,0.0037990196078431368
baby,2023,1,87,1.0,,Multi-interest per-item,0.034482758620689655,0.016145234115408514,0.010344827586206896,0.06896551724137931,0.024337836716782288,0.012321032466223028
baby,2023,1,87,1.0,,FIR-MIC,0.034482758620689655,0.01709352805378712,0.011494252873563218,0.06896551724137931,0.0255945199884605,0.013711001642036124
baby,2023,2-3,408,2.321078431372549,0.7078592446176153,Multi-interest per-item,0.029411764705882353,0.01433190663226218,0.009725140056022407,0.05392156862745098,0.020541021643918352,0.011434313663245098
baby,2023,2-3,408,2.321078431372549,0.7078592446176153,FIR-MIC,0.049019607843137254,0.02516413659234245,0.01818685807656396,0.0784313725490196,0.03238031771971011,0.020049545429428415
baby,2023,4-5,79,4.329113924050633,0.7120863282227818,Multi-interest per-item,0.08860759493670886,0.043344843277894715,0.02988748241912799,0.16455696202531644,0.06166670016390345,0.03447018227164796
baby,2023,4-5,79,4.329113924050633,0.7120863282227818,FIR-MIC,0.0759493670886076,0.050960372133539766,0.04294755877034358,0.11392405063291139,0.06047450336881925,0.045512515465879894
baby,2023,>=6,34,7.617647058823529,0.7146637001458336,Multi-interest per-item,0.0,0.0,0.0,0.058823529411764705,0.014451968769895698,0.0037348272642390287
baby,2023,>=6,34,7.617647058823529,0.7146637001458336,FIR-MIC,0.0,0.0,0.0,0.029411764705882353,0.007195604179947824,0.001838235294117647
baby,2024,1,87,1.0,,Multi-interest per-item,0.034482758620689655,0.01091756558371314,0.0043559569421638385,0.09195402298850575,0.025166709884077668,0.008108492439121241
baby,2024,1,87,1.0,,FIR-MIC,0.04597701149425287,0.02127719418550957,0.013519430760810068,0.04597701149425287,0.02127719418550957,0.013519430760810068
baby,2024,2-3,408,2.321078431372549,0.7078592446176153,Multi-interest per-item,0.041666666666666664,0.020219897770082308,0.013767312480547775,0.061274509803921566,0.02497309784754961,0.014964910460095763
baby,2024,2-3,408,2.321078431372549,0.7078592446176153,FIR-MIC,0.04656862745098039,0.023858296121215452,0.01719771241830065,0.07107843137254902,0.030046493181718672,0.0188889719342961
baby,2024,4-5,79,4.329113924050633,0.7120863282227818,Multi-interest per-item,0.06329113924050633,0.038591686738282664,0.030590717299578057,0.0759493670886076,0.0415715464011515,0.03129395218002813
baby,2024,4-5,79,4.329113924050633,0.7120863282227818,FIR-MIC,0.0759493670886076,0.05219256485176837,0.04430379746835443,0.11392405063291139,0.061782114122615125,0.046929031439357886
baby,2024,>=6,34,7.617647058823529,0.7146637001458336,Multi-interest per-item,0.029411764705882353,0.010476681973765358,0.004901960784313725,0.029411764705882353,0.010476681973765358,0.004901960784313725
baby,2024,>=6,34,7.617647058823529,0.7146637001458336,FIR-MIC,0.0,0.0,0.0,0.029411764705882353,0.00772498632462334,0.0022624434389140274
