dataset,seed,group,n_users,average_history_length,average_interest_diversity,gain_pct_Recall@10,gain_pct_NDCG@10,gain_pct_MRR@10,gain_pct_Recall@20,gain_pct_NDCG@20,gain_pct_MRR@20
baby,2022,1,87,1.0,,0.0,21.15571401241641,43.99999999999999,-40.0,-25.722636801968214,1.8228333866325575
baby,2022,2-3,408,2.321078431372549,0.7078592446176153,53.846153846153854,94.12794390640265,143.29882286200532,38.095238095238095,72.93160950658307,126.51253824950761
baby,2022,4-5,79,4.329113924050633,0.7120863282227818,0.0,62.82305798511841,140.0348128807659,-25.000000000000004,19.120143978064984,95.43723190573974
baby,2022,>=6,34,7.617647058823529,0.7146637001458336,-100.0,-100.0,-100.0,-33.333333333333336,-43.415209546236674,-58.70522388059702
baby,2023,1,87,1.0,,0.0,5.873522375705808,11.11111111111111,0.0,5.163496190323522,11.281271919569797
baby,2023,2-3,408,2.321078431372549,0.7078592446176153,66.66666666666667,75.5812205453259,87.00870087008705,45.454545454545446,57.63732827425872,75.34542098382742
baby,2023,4-5,79,4.329113924050633,0.7120863282227818,-14.285714285714285,17.569630617464632,43.697478991596626,-30.769230769230766,-1.933291049975868,32.0344496794679
baby,2023,>=6,34,7.617647058823529,0.7146637001458336,nan,nan,nan,-50.0,-50.210214992045294,-50.78124999999999
baby,2024,1,87,1.0,,33.33333333333333,94.88954769597132,210.3664921465968,-50.0,-15.455002725759142,66.73174282783494
baby,2024,2-3,408,2.321078431372549,0.7078592446176153,11.764705882352951,17.994148103540752,24.91699046273399,16.0,20.315442501927606,26.22175043856043
baby,2024,4-5,79,4.329113924050633,0.7120863282227818,19.999999999999996,35.24302579911267,44.82758620689657,49.99999999999999,48.61634813013308,49.96198361071216
baby,2024,>=6,34,7.617647058823529,0.7146637001458336,-100.0,-100.0,-100.0,0.0,-26.26495350371935,-53.84615384615384
baby,2025,1,87,1.0,,0.0,18.059429745242756,37.7049180327869,-42.857142857142854,-23.40424752358874,6.49972880130176
baby,2025,2-3,408,2.321078431372549,0.7078592446176153,162.5,201.47749042484597,239.3951296150824,66.66666666666666,113.49170997282431,182.8068775001367
baby,2025,4-5,79,4.329113924050633,0.7120863282227818,0.0,24.23956602263771,41.5568862275449,0.0,22.052504894066647,40.66597191858955
baby,2025,>=6,34,7.617647058823529,0.7146637001458336,-100.0,-100.0,-100.0,-66.66666666666667,-70.39231304964419,-76.314872866597
baby,2026,1,87,1.0,,0.0,23.975508070094946,56.52173913043478,-44.44444444444444,-29.36777707550923,2.138845046885146
baby,2026,2-3,408,2.321078431372549,0.7078592446176153,5.555555555555551,25.941171516297352,46.05323895983997,-3.225806451612892,14.494488360431282,37.76113317789388
baby,2026,4-5,79,4.329113924050633,0.7120863282227818,50.00000000000001,59.91806651969171,64.2857142857143,79.99999999999999,71.4609155157815,67.58040935672513
baby,2026,>=6,34,7.617647058823529,0.7146637001458336,-100.0,-100.0,-100.0,-66.66666666666667,-72.66165817996904,-80.36006546644843
baby,2027,1,87,1.0,,-25.0,2.83262791529012,39.28571428571428,-16.666666666666664,3.481830723880661,36.528969092596235
baby,2027,2-3,408,2.321078431372549,0.7078592446176153,33.33333333333333,40.22824266502999,48.0679573291189,3.448275862068973,16.928824540357123,34.23511804904992
baby,2027,4-5,79,4.329113924050633,0.7120863282227818,50.00000000000001,64.01947177610458,72.50000000000001,12.499999999999998,36.73277025447115,58.48873405924268
baby,2027,>=6,34,7.617647058823529,0.7146637001458336,-100.0,-100.0,-100.0,-66.66666666666667,-70.27077913420435,-75.65024903154399
baby,2028,1,87,1.0,,0.0,13.78363371109097,30.15873015873018,-50.0,-32.67980576141323,-4.439739269244394
baby,2028,2-3,408,2.321078431372549,0.7078592446176153,46.15384615384617,56.13676234590795,62.267518316738645,35.0,47.12889125778565,57.73503369562287
baby,2028,4-5,79,4.329113924050633,0.7120863282227818,50.00000000000001,84.7560386639846,106.55737704918033,28.57142857142857,63.61622076057469,95.76736672051697
baby,2028,>=6,34,7.617647058823529,0.7146637001458336,nan,nan,nan,-50.0,-41.94417597613023,-25.0
baby,2029,1,87,1.0,,-25.0,-10.725764287825205,8.36734693877551,20.0,20.633920168471057,26.033834586466185
baby,2029,2-3,408,2.321078431372549,0.7078592446176153,49.99999999999998,60.48705299582899,69.87842196675217,11.111111111111114,30.026860513242926,52.36659378784099
baby,2029,4-5,79,4.329113924050633,0.7120863282227818,19.999999999999996,34.752527483268615,43.262411347517705,0.0,20.27391779221761,37.03186624507004
baby,2029,>=6,34,7.617647058823529,0.7146637001458336,0.0,-54.18430900086738,-80.0,-66.66666666666667,-73.98131107291127,-83.82022471910112
