row_id,user,target,prefix_length,history_group,interest_diversity,semantic_gap,best_history_image_similarity,best_history_text_similarity,gap_quartile,gap_group,diversity_group
0,8,6716,3,2-3,0.781381294131279,0.4773678779602051,0.35662421584129333,0.5641341209411621,1,Q1-low,High
1,15,6937,4,4-5,0.6719349324703217,0.7307190895080566,0.22950652241706848,0.2792245149612427,3,Q3,Low
2,16,5479,3,2-3,0.6673492193222046,0.5979577898979187,0.22047121822834015,0.4474349617958069,1,Q1-low,Low
3,39,737,5,4-5,0.72504922747612,0.6320201456546783,0.2607879638671875,0.3947778344154358,2,Q2,Medium
4,41,5198,1,1,,0.7175945341587067,0.4182281494140625,0.24844978749752045,3,Q3,Single-history
5,45,5439,5,4-5,0.7010861933231354,0.5464388132095337,0.2909182012081146,0.49422192573547363,1,Q1-low,Medium
6,47,1,10,>=6,0.7523233890533447,0.7019138932228088,0.11550836265087128,0.3437305688858032,3,Q3,High
7,73,1725,2,2-3,0.6907964050769806,0.7290046811103821,0.21462589502334595,0.2850876450538635,3,Q3,Medium
8,80,4,3,2-3,0.7608064562082291,0.6119290888309479,0.29069629311561584,0.41241455078125,1,Q1-low,High
9,219,7038,10,>=6,0.740170419216156,0.4685524106025696,0.32470113039016724,0.5831341743469238,1,Q1-low,Medium
10,345,6640,3,2-3,0.676170140504837,0.752374604344368,0.18585345149040222,0.26306837797164917,4,Q4-high,Low
11,369,6829,1,1,,0.8303176462650299,0.12542548775672913,0.18074657022953033,4,Q4-high,Single-history
12,402,13,2,2-3,0.8195799291133881,0.6962418854236603,0.24099604785442352,0.3194486200809479,3,Q3,High
13,436,2453,5,4-5,0.7397377490997314,0.6888152956962585,0.2671535611152649,0.3221924901008606,2,Q2,Medium
14,525,6800,6,>=6,0.6822162568569183,0.6040926575660706,0.20456895232200623,0.44374194741249084,1,Q1-low,Low
15,540,6528,5,4-5,0.7365806400775909,0.491693913936615,0.32652899622917175,0.5537503361701965,1,Q1-low,Medium
16,557,7010,2,2-3,0.7232136428356171,0.28510206937789917,0.4660758674144745,0.7771034240722656,1,Q1-low,Medium
17,595,7008,4,4-5,0.6917248666286469,0.611329048871994,0.3336995840072632,0.4024137854576111,1,Q1-low,Medium
18,640,3940,1,1,,0.7718314528465271,0.1814253181219101,0.2398543655872345,4,Q4-high,Single-history
