dataset,model,gap_quartile,gap_group,n_seeds,n_users,mean_gap,Recall@10_mean,Recall@10_sd,NDCG@10_mean,NDCG@10_sd,MRR@10_mean,MRR@10_sd,Recall@20_mean,Recall@20_sd,NDCG@20_mean,NDCG@20_sd,MRR@20_mean,MRR@20_sd
baby,FIR-MIC,1,Q1-low,10,152,0.5402294181679423,0.19276315789473686,0.006969407272838028,0.10474298667028084,0.004282477380856025,0.07812291144527986,0.004276288835953963,0.2848684210526316,0.015829019677735607,0.1276530454153518,0.0061639143888344485,0.08420744833828384,0.004636707838795528
baby,FIR-MIC,2,Q2,10,152,0.6593885737422267,0.0,0.0,0.0,0.0,0.0,0.0,0.009868421052631578,0.0034674097150969073,0.00245675122620312,0.0008365236604038808,0.0006553813121048741,0.0002231309887679367
baby,FIR-MIC,3,Q3,10,152,0.7170456257697781,0.0006578947368421052,0.002080445829058144,0.00021929824561403506,0.0006934819430193815,9.398496240601503e-05,0.0002972065470083063,0.005263157894736842,0.002773927772077526,0.00134460483839602,0.0007363318541737517,0.000382431827763423,0.00026791439242872413
baby,FIR-MIC,4,Q4-high,10,152,0.7960427623291155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baby,Multi-interest clustered,1,Q1-low,10,152,0.5402294181679423,0.12105263157894737,0.022620696417943207,0.05793129818964911,0.011881741412713422,0.03880978487886382,0.009212681501347188,0.18881578947368421,0.0403234555947131,0.0748475908023922,0.014760572740269217,0.04333745581146082,0.009527999341859559
baby,Multi-interest clustered,2,Q2,10,152,0.6593885737422267,0.015789473684210527,0.00940684674979264,0.005532766650084929,0.0036177924947168334,0.002569705513784461,0.0019175049057533551,0.03947368421052631,0.01611506409725775,0.011299134193302206,0.004752340219126839,0.004038017860758003,0.0019846248268558654
baby,Multi-interest clustered,3,Q3,10,152,0.7170456257697781,0.006578947368421052,0.00620269106303989,0.0023029890298436086,0.002126823670401899,0.0010680346700083542,0.000991749281231595,0.023026315789473683,0.00943237419631867,0.006414381209486364,0.00278724683051321,0.0021734470606069108,0.0011175850184638953
baby,Multi-interest clustered,4,Q4-high,10,152,0.7960427623291155,0.006578947368421052,0.00620269106303989,0.002276477481063543,0.002174796153107283,0.0010359231411862992,0.0010244951388660606,0.013815789473684208,0.010942960482346182,0.004080347536476415,0.0030201469020483176,0.0015166867593236339,0.0011064746258127338
baby,Multi-interest per-item,1,Q1-low,10,152,0.5402294181679423,0.12368421052631577,0.017761804150277706,0.06118832828455657,0.009174037001561138,0.04235615079365079,0.007712297665940337,0.19210526315789475,0.03174905451026993,0.0783774270341154,0.012625506581839802,0.047018262138052956,0.008576141397104107
baby,Multi-interest per-item,2,Q2,10,152,0.6593885737422267,0.01776315789473684,0.0120314620388993,0.006238359401547558,0.004515734414807681,0.002925543024227235,0.0023382656164083874,0.043421052631578944,0.012482674974348865,0.01252272692942546,0.003946857047116125,0.004544240450653396,0.002001412356097364
baby,Multi-interest per-item,3,Q3,10,152,0.7170456257697781,0.009210526315789473,0.005547855544155052,0.0032861574774161947,0.002286253041307436,0.0015823412698412697,0.0013846066225271228,0.023684210526315787,0.006355866993942736,0.006829950749853099,0.0021128183109188816,0.0024943858250543113,0.001276570821903327
baby,Multi-interest per-item,4,Q4-high,10,152,0.7960427623291155,0.008552631578947367,0.006241337487174432,0.002971609661601547,0.0019771792731755927,0.001360954469507101,0.0008369163065165218,0.01710526315789473,0.012482674974348865,0.00509822176094102,0.0033955728151366747,0.0019268635137290424,0.0011474270404175078
baby,Static score-level,1,Q1-low,10,152,0.5402294181679423,0.09802631578947367,0.021587236319867916,0.043837933773631564,0.010213009527419496,0.027774383876357556,0.007881462816419955,0.16973684210526316,0.03279223796933113,0.06184407935402982,0.012549111415817637,0.0326488641409918,0.008370559127057225
baby,Static score-level,2,Q2,10,152,0.6593885737422267,0.011184210526315788,0.007628301373213194,0.003854288869755771,0.0027546169525118004,0.0017643065998329157,0.0014854765407902074,0.03289473684210527,0.01240538212607978,0.009336484370532158,0.003988870095651533,0.003263602124660052,0.0018567690025516209
baby,Static score-level,3,Q3,10,152,0.7170456257697781,0.009210526315789475,0.006355866993942736,0.0033390342262101962,0.002361962711135807,0.0016416040100250627,0.001352395627533393,0.025,0.009200077615527645,0.00726131007422029,0.002616171146251726,0.0026806798620693847,0.0012794978236502033
baby,Static score-level,4,Q4-high,10,152,0.7960427623291155,0.009868421052631578,0.008350628405552531,0.00344753181032634,0.002759741008738807,0.0016053153717627403,0.0012662101928306965,0.023684210526315787,0.017869779638125756,0.00692099669949658,0.004987114969574212,0.002547049585352095,0.0017782303817344973
