dataset,seed,group,n_users,average_history_length,average_interest_diversity,model,Recall@10,NDCG@10,MRR@10,Recall@20,NDCG@20,MRR@20
clothing,2022,High,648,2.7978395061728394,0.7061748805766305,Multi-interest per-item,0.06018518518518518,0.03702471196595869,0.029821918479325887,0.08487654320987655,0.04328526429073296,0.031547830145324696
clothing,2022,High,648,2.7978395061728394,0.7061748805766305,FIR-MIC,0.04938271604938271,0.03322494927333621,0.028109690378208898,0.06790123456790123,0.03780504143932859,0.029313743636749885
clothing,2022,Low,649,2.8397534668721107,0.43276637002756857,Multi-interest per-item,0.10631741140215717,0.06120065939642791,0.047525497101768295,0.14329738058551617,0.07040848146313301,0.04997887279654418
clothing,2022,Low,649,2.8397534668721107,0.43276637002756857,FIR-MIC,0.10477657935285054,0.06554394065829586,0.05347726661285984,0.15254237288135594,0.07772061675261985,0.05687145244084474
clothing,2022,Medium,649,3.420647149460709,0.6019340089087494,Multi-interest per-item,0.05238828967642527,0.031926241126075415,0.02562428155648495,0.0847457627118644,0.03994505343688985,0.027743412994179834
clothing,2022,Medium,649,3.420647149460709,0.6019340089087494,FIR-MIC,0.060092449922958396,0.03906633483634404,0.03260082666862328,0.0847457627118644,0.04528616559782193,0.03429975018003993
clothing,2022,Single-history,149,1.0,,Multi-interest per-item,0.0738255033557047,0.03895199344583915,0.028512836902098646,0.09395973154362416,0.04401250668888376,0.02988134162630807
clothing,2022,Single-history,149,1.0,,FIR-MIC,0.0738255033557047,0.04632788383381621,0.03713646532438478,0.08053691275167785,0.04814156272259017,0.03769574944071588
clothing,2023,High,648,2.7978395061728394,0.7061748805766305,Multi-interest per-item,0.06172839506172839,0.03678394964949838,0.029316088575347836,0.08333333333333333,0.04221501971940869,0.03078867212943724
clothing,2023,High,648,2.7978395061728394,0.7061748805766305,FIR-MIC,0.04938271604938271,0.032865397197874145,0.027766754850088178,0.06790123456790123,0.037474209870041804,0.028992641984629718
