dataset,seed,group,n_users,average_history_length,average_interest_diversity,model,Recall@10,NDCG@10,MRR@10,Recall@20,NDCG@20,MRR@20
clothing,2022,1,149,1.0,,Multi-interest per-item,0.0738255033557047,0.03895199344583915,0.028512836902098646,0.09395973154362416,0.04401250668888376,0.02988134162630807
clothing,2022,1,149,1.0,,FIR-MIC,0.0738255033557047,0.04632788383381621,0.03713646532438478,0.08053691275167785,0.04814156272259017,0.03769574944071588
clothing,2022,2-3,1517,2.3269611074489123,0.5775646072816676,Multi-interest per-item,0.07646671061305207,0.04599349810054286,0.036646838476106766,0.10481212920237311,0.053081950337121576,0.03855061194410284
clothing,2022,2-3,1517,2.3269611074489123,0.5775646072816676,FIR-MIC,0.07053394858272907,0.0473032617753296,0.040052160174111395,0.0995385629531971,0.05463232087711504,0.04206174267244266
clothing,2022,4-5,281,4.3736654804270465,0.5895858407020569,Multi-interest per-item,0.0711743772241993,0.038824719074658384,0.02898378805852116,0.1103202846975089,0.04871926624408237,0.03170388917554613
clothing,2022,4-5,281,4.3736654804270465,0.5895858407020569,FIR-MIC,0.09252669039145907,0.04804414484041777,0.034553465514319606,0.12099644128113879,0.05519104537000161,0.03648382703752182
clothing,2022,>=6,148,7.547297297297297,0.5897482301335077,Multi-interest per-item,0.04054054054054054,0.02533438590907685,0.02068318318318318,0.08783783783783784,0.03684366847641367,0.023612744829850093
clothing,2022,>=6,148,7.547297297297297,0.5897482301335077,FIR-MIC,0.04054054054054054,0.028124210214937616,0.0243993993993994,0.08783783783783784,0.04015644647680854,0.02774187395897922
clothing,2023,1,149,1.0,,Multi-interest per-item,0.0738255033557047,0.04137061189785026,0.031674123788217746,0.09395973154362416,0.04692849139939106,0.03345366415836214
clothing,2023,1,149,1.0,,FIR-MIC,0.0738255033557047,0.046448382842468626,0.03771172898689677,0.0738255033557047,0.046448382842468626,0.03771172898689677
clothing,2023,2-3,1517,2.3269611074489123,0.5775646072816676,Multi-interest per-item,0.07448912326961107,0.04609098556803837,0.037383986774230674,0.1041529334212261,0.05357091517801362,0.039425737191537996
