dataset,seed,model,gap_quartile,gap_group,n_users,mean_gap,Recall@10,NDCG@10,MRR@10,Recall@20,NDCG@20,MRR@20
clothing,2022,FIR-MIC,1,Q1-low,524,0.3414624711029402,0.2824427480916031,0.18248544452740748,0.15131315885132676,0.38740458015267176,0.2090818996356968,0.15864420749850464
clothing,2022,FIR-MIC,2,Q2,524,0.5057326028023967,0.003816793893129771,0.001340300923702806,0.0006202290076335878,0.013358778625954198,0.003708484799012325,0.0012452639599586164
clothing,2022,FIR-MIC,3,Q3,524,0.5877950067511042,0.0,0.0,0.0,0.0,0.0,0.0
clothing,2022,FIR-MIC,4,Q4-high,523,0.6828355200973342,0.0,0.0,0.0,0.0,0.0,0.0
clothing,2022,Multi-interest clustered,1,Q1-low,524,0.3414624711029402,0.2824427480916031,0.1714159413842165,0.13726372228280623,0.3702290076335878,0.19348533383458005,0.14324724167754085
clothing,2022,Multi-interest clustered,2,Q2,524,0.5057326028023967,0.007633587786259542,0.003400367275215125,0.0020856052344601964,0.04198473282442748,0.011876373928663125,0.004300536907980247
clothing,2022,Multi-interest clustered,3,Q3,524,0.5877950067511042,0.003816793893129771,0.0012899191480008198,0.0005725190839694658,0.007633587786259542,0.0021820617343845687,0.0007801975752132915
clothing,2022,Multi-interest clustered,4,Q4-high,523,0.6828355200973342,0.0,0.0,0.0,0.0019120458891013384,0.0004780114722753346,0.00012746972594008922
clothing,2022,Multi-interest per-item,1,Q1-low,524,0.3414624711029402,0.2786259541984733,0.16696267920685665,0.13273733793771963,0.366412213740458,0.18891802126805068,0.13863727244108273
clothing,2022,Multi-interest per-item,2,Q2,524,0.5057326028023967,0.009541984732824428,0.003952017707119491,0.002276444929116685,0.03816793893129771,0.01111327846255232,0.004203756431795096
clothing,2022,Multi-interest per-item,3,Q3,524,0.5877950067511042,0.003816793893129771,0.0012899191480008198,0.0005725190839694658,0.007633587786259542,0.002189138002443359,0.0007852196724410938
clothing,2022,Multi-interest per-item,4,Q4-high,523,0.6828355200973342,0.0,0.0,0.0,0.0019120458891013384,0.0005021979637422439,0.00014708045300779526
clothing,2022,Static score-level,1,Q1-low,524,0.3414624711029402,0.23091603053435114,0.1375852097543259,0.10882330667636012,0.30916030534351147,0.15746171934939968,0.11432722487724792
clothing,2022,Static score-level,2,Q2,524,0.5057326028023967,0.019083969465648856,0.008238504431141692,0.0051072337331879315,0.04007633587786259,0.013549371293410058,0.00656465721575735
clothing,2022,Static score-level,3,Q3,524,0.5877950067511042,0.003816793893129771,0.0014180534243178698,0.0006997455470737914,0.013358778625954198,0.003783717117247108,0.0013285729939004347
clothing,2022,Static score-level,4,Q4-high,523,0.6828355200973342,0.0019120458891013384,0.0012063666416280258,0.0009560229445506692,0.0057361376673040155,0.002229121843274193,0.0012664200044697177
