row_id,user,target,prefix_length,history_group,interest_diversity,semantic_gap,best_history_image_similarity,best_history_text_similarity,gap_quartile,gap_group,diversity_group
0,17,22665,2,2-3,0.825510710477829,0.7187137603759766,0.12373945862054825,0.3206729590892792,4,Q4-high,High
1,29,22642,10,>=6,0.6708469092845917,0.4839664101600647,0.395526647567749,0.5461603403091431,2,Q2,High
2,31,22893,6,>=6,0.6469132006168365,0.6599813401699066,0.15216559171676636,0.38698190450668335,4,Q4-high,High
3,45,23031,2,2-3,0.535127192735672,0.6509422659873962,0.19336673617362976,0.38798049092292786,4,Q4-high,Low
4,53,7596,6,>=6,0.6775058507919312,0.38369834423065186,0.26411786675453186,0.704347550868988,1,Q1-low,High
5,55,21826,2,2-3,0.629713773727417,0.3860766291618347,0.09269072115421295,0.7442315816879272,1,Q1-low,Medium
6,80,6054,2,2-3,0.7939789891242981,0.7775577455759048,0.07146097719669342,0.260187566280365,4,Q4-high,High
7,87,16756,3,2-3,0.4097446799278259,0.30565714836120605,0.3932968080043793,0.7696043252944946,1,Q1-low,Low
8,112,8,2,2-3,0.610810786485672,0.5979391038417816,0.2017804980278015,0.4521309733390808,3,Q3,Medium
9,152,22453,2,2-3,0.6573143899440765,0.49121880531311035,0.3329879343509674,0.5527294874191284,2,Q2,High
10,161,9983,4,4-5,0.543706625699997,0.5230868756771088,0.24471724033355713,0.5349620580673218,2,Q2,Low
11,183,23032,5,4-5,0.5891596376895905,0.5587611198425293,0.12218805402517319,0.5210015773773193,3,Q3,Medium
12,205,2528,2,2-3,0.5136327743530273,0.5626369416713715,0.20634570717811584,0.4951173663139343,3,Q3,Low
13,226,41,3,2-3,0.6028119623661041,0.5164746046066284,0.37739384174346924,0.5100582838058472,2,Q2,Medium
14,239,11170,2,2-3,0.5218929648399353,0.5579949021339417,0.3523781895637512,0.46441182494163513,3,Q3,Low
15,252,4668,2,2-3,0.6893119812011719,0.4275367856025696,0.2498105764389038,0.6531263589859009,1,Q1-low,High
16,291,6572,3,2-3,0.7435328364372253,0.5016506016254425,0.1951006054878235,0.5741615891456604,2,Q2,High
17,323,1062,2,2-3,0.6940818428993225,0.5760552883148193,0.15844669938087463,0.4903191924095154,3,Q3,High
18,335,4501,3,2-3,0.5134642422199249,0.6335647404193878,0.2918597161769867,0.38507914543151855,4,Q4-high,Low
19,352,19666,2,2-3,0.5496239066123962,0.3487584590911865,0.38631224632263184,0.7174738645553589,1,Q1-low,Low
20,367,21826,3,2-3,0.26894456148147583,0.6071762442588806,0.32702305912971497,0.4092739224433899,3,Q3,Low
21,396,22052,10,>=6,0.6554105579853058,0.5545428395271301,0.07747983932495117,0.5374515056610107,3,Q3,High
22,407,22018,2,2-3,0.6101592183113098,0.4965132474899292,0.1942451298236847,0.5807971954345703,2,Q2,Medium
23,420,23009,2,2-3,0.7112953662872314,0.6533330380916595,0.2494218647480011,0.3709782361984253,4,Q4-high,High
24,427,21170,2,2-3,0.6003715395927429,0.6167873442173004,0.17034649848937988,0.4364291727542877,3,Q3,Medium
25,442,7239,3,2-3,0.20512014627456665,0.44647204875946045,0.4239518344402313,0.5859220027923584,1,Q1-low,Low
26,444,21451,2,2-3,0.7507327049970627,0.12059241533279419,0.5604497194290161,0.959147036075592,1,Q1-low,High
27,452,2064,3,2-3,0.6895212531089783,0.44880491495132446,0.3409348428249359,0.6037601232528687,1,Q1-low,High
28,453,19378,2,2-3,0.7528378665447235,0.5910433232784271,0.1482006311416626,0.47414565086364746,3,Q3,High
29,464,4689,2,2-3,0.44211113452911377,0.6616119742393494,0.2269434630870819,0.366249144077301,4,Q4-high,Low
30,488,21586,3,2-3,0.6248251497745514,0.49375659227371216,0.20279189944267273,0.5821062922477722,2,Q2,Medium
31,501,19594,3,2-3,0.6307193338871002,0.31002795696258545,0.6278464794158936,0.7055034637451172,1,Q1-low,Medium
32,504,2461,3,2-3,0.6443414986133575,0.6886196434497833,0.4257045388221741,0.28279930353164673,4,Q4-high,High
33,525,17654,3,2-3,0.625704437494278,0.6520301699638367,0.1629817634820938,0.3942168354988098,4,Q4-high,Medium
