dataset,model,gap_quartile,gap_group,n_seeds,n_users,mean_gap,Recall@10_mean,Recall@10_sd,NDCG@10_mean,NDCG@10_sd,MRR@10_mean,MRR@10_sd,Recall@20_mean,Recall@20_sd,NDCG@20_mean,NDCG@20_sd,MRR@20_mean,MRR@20_sd
clothing,FIR-MIC,1,Q1-low,10,524,0.3414624711029402,0.28587786259541986,0.005152279066492768,0.18139320301789097,0.0029114231981395566,0.14927003816793893,0.0030625711256365875,0.3843511450381679,0.006744202687378399,0.20632143682171242,0.0032514964881811916,0.1561288183445972,0.0032061683679715076
clothing,FIR-MIC,2,Q2,10,524,0.5057326028023967,0.002480916030534351,0.0015711309205125275,0.0008043783914776555,0.0005210271472317299,0.0003332878953107961,0.00022577134006535507,0.01431297709923664,0.0039470972156459465,0.003673181161083053,0.0010140301828700808,0.001056827110581276,0.0003145746077353286
clothing,FIR-MIC,3,Q3,10,524,0.5877950067511042,0.0,0.0,0.0,0.0,0.0,0.0,0.00019083969465648855,0.0006034881030855685,4.344852074369332e-05,0.0001373962865151438,9.541984732824428e-06,3.017440515427843e-05
clothing,FIR-MIC,4,Q4-high,10,523,0.6828355200973342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clothing,Multi-interest clustered,1,Q1-low,10,524,0.3414624711029402,0.27595419847328245,0.00709508574737847,0.16967773743082548,0.002772532274614373,0.13740374712225858,0.002774150967798006,0.35916030534351145,0.01360787985457601,0.19073381917868448,0.0035901935651722417,0.14319373199528973,0.0027129999908714285
clothing,Multi-interest clustered,2,Q2,10,524,0.5057326028023967,0.013740458015267177,0.004743346534938232,0.005022782090845252,0.001614801562586226,0.0025024990912395494,0.0008905690172948736,0.03931297709923664,0.0052610873099581,0.011412657157116016,0.001569034521887985,0.004216956225381532,0.0008425169932968558
clothing,Multi-interest clustered,3,Q3,10,524,0.5877950067511042,0.0019083969465648856,0.0020116270102852286,0.0006011789124162482,0.0006483138473320635,0.00023983702895916635,0.00026903818701089265,0.0072519083969465655,0.0025125213305510815,0.0019068154873223303,0.0006657002793090819,0.0005743540802136859,0.0002282021739964586
clothing,Multi-interest clustered,4,Q4-high,10,523,0.6828355200973342,0.0009560229445506692,0.0018581746000144361,0.0003450052916535818,0.0007198442450078455,0.00016836626301253453,0.0003854465693439865,0.0032504780114722747,0.0018139260000965848,0.0009132947888385477,0.0006261002182214166,0.0003180935805218788,0.0003427115075433157
clothing,Multi-interest per-item,1,Q1-low,10,524,0.3414624711029402,0.2778625954198473,0.008156397162760617,0.17089137059225434,0.0034507079052864885,0.1383821034775233,0.0032256955390918773,0.36469465648854965,0.012251122289219154,0.19279674865991478,0.003991904182186675,0.14436790029381252,0.0032749448185924847
clothing,Multi-interest per-item,2,Q2,10,524,0.5057326028023967,0.014122137404580154,0.004604824699962814,0.00523749978926754,0.0017628006061812715,0.0026783442384587424,0.0010972296096123568,0.03816793893129771,0.004844639380320552,0.011270368234058635,0.0015493832287424938,0.0043122662904703886,0.001014428817534466
clothing,Multi-interest per-item,3,Q3,10,524,0.5877950067511042,0.002099236641221374,0.0014081389071996602,0.0006513234538508553,0.0004458964076331794,0.0002536198957954683,0.00018328249338797568,0.0076335877862595426,0.0015581995819231413,0.0019887033736167093,0.000426889227800129,0.0005885436068092699,0.00015773374082684593
clothing,Multi-interest per-item,4,Q4-high,10,523,0.6828355200973342,0.0005736137667304014,0.0009236059111656748,0.0001765637008250865,0.0002850428631003575,6.768035448723785e-05,0.00011080428244797448,0.0021032504780114725,0.0022891376668028006,0.0005569003822104516,0.0005992035451469351,0.0001684165601329025,0.0001816900201571151
clothing,Static score-level,1,Q1-low,10,524,0.3414624711029402,0.22538167938931294,0.007166024181495645,0.13612669042457723,0.0056115421381384275,0.10871258936144432,0.005627382575227865,0.30305343511450383,0.009076874799866144,0.15572044968605683,0.004761908835667955,0.11406629868797229,0.0052930217449176495
clothing,Static score-level,2,Q2,10,524,0.5057326028023967,0.018511450381679388,0.004319146360500752,0.008580977867256177,0.0022554349227665834,0.005666727250696716,0.001829137954739986,0.044274809160305344,0.003687373217859909,0.01503631268825686,0.0015597013911448022,0.007408258963580318,0.0016233508467184195
clothing,Static score-level,3,Q3,10,524,0.5877950067511042,0.0036259541984732828,0.0014081389071996602,0.00141722112673612,0.000650938062754754,0.0007577547558463589,0.0004469254646279998,0.008206106870229008,0.002851973507819325,0.002554648933160092,0.0009340179092226593,0.0010600678697289079,0.0004947424011604007
clothing,Static score-level,4,Q4-high,10,523,0.6828355200973342,0.002294455066921606,0.0008061893333762598,0.0010186821053571084,0.00037969321049445375,0.0006330996388357764,0.0003506383010117316,0.004206500956022944,0.0015082421371828214,0.0015038794793722436,0.0004731145322378999,0.00076724006132959,0.0003566853120680589
