dataset,seed,scope,measure,n_users,mean,median,std,ci95_low,ci95_high,pct_future_better
sports,2022,Overall,past_target_cosine,1693,0.8668918396267606,0.872369110584259,0.05299090894702268,0.8643658488589109,0.8694178303946104,
sports,2022,Overall,future_target_cosine,1693,0.8771426892111587,0.8866001963615417,0.04537670659708664,0.8749796551319686,0.8793057232903487,
sports,2022,Overall,delta_future_minus_past,1693,0.010250849584398083,0.016978859901428223,0.06411317115154411,0.007194678598761998,0.013307020570034168,0.6131128174837567
sports,2022,Q4-high,past_target_cosine,423,0.8281912795195343,0.8353775143623352,0.05027600233421428,0.8233863613165987,0.8329961977224699,
sports,2022,Q4-high,future_target_cosine,423,0.8826380827184547,0.8941950798034668,0.04052131686000373,0.878765427695224,0.8865107377416853,
sports,2022,Q4-high,delta_future_minus_past,423,0.054446803198920354,0.049987614154815674,0.048262812665555245,0.04983428716075114,0.05905931923708957,0.900709219858156
sports,2023,Overall,past_target_cosine,1693,0.8819639049404412,0.8872894644737244,0.05184867230390153,0.8794923627425925,0.8844354471382899,
sports,2023,Overall,future_target_cosine,1693,0.8676344511499083,0.8805939555168152,0.056255494641469124,0.8649528428716423,0.8703160594281744,
sports,2023,Overall,delta_future_minus_past,1693,-0.01432945379053286,-0.005142569541931152,0.07305317347036505,-0.01781178020113956,-0.010847127379926163,0.464264619019492
sports,2023,Q4-high,past_target_cosine,423,0.8390354842440738,0.8449745774269104,0.04957159914279053,0.8342978864238166,0.843773082064331,
sports,2023,Q4-high,future_target_cosine,423,0.8737917931367319,0.8804357051849365,0.046903371239071186,0.8693092000151168,0.8782743862583471,
sports,2023,Q4-high,delta_future_minus_past,423,0.034756308892658135,0.03308743238449097,0.05925472444347737,0.029093286956352743,0.040419330828963526,0.789598108747045
sports,2024,Overall,past_target_cosine,1693,0.9010833646162544,0.9062281847000122,0.04058778505876673,0.8991486106672626,0.9030181185652462,
sports,2024,Overall,future_target_cosine,1693,0.890640898843665,0.8992165327072144,0.05312373286774918,0.8881085765747301,0.8931732211126,
sports,2024,Overall,delta_future_minus_past,1693,-0.010442465772589353,-0.005437970161437988,0.063667351742147,-0.013477385269344748,-0.007407546275833959,0.4559952746603662
sports,2024,Q4-high,past_target_cosine,423,0.8677645328478892,0.870809018611908,0.03967615690032456,0.8639726504455137,0.8715564152502647,
sports,2024,Q4-high,future_target_cosine,423,0.8891401343030005,0.8943027257919312,0.03975145774984491,0.885341055337538,0.892939213268463,
sports,2024,Q4-high,delta_future_minus_past,423,0.02137560145511131,0.020765841007232666,0.05098830301544074,0.016502608100009954,0.026248594810212668,0.6808510638297872
sports,2025,Overall,past_target_cosine,1693,0.8765316497835969,0.8803070187568665,0.054135319090984076,0.8739511068384826,0.8791121927287111,
sports,2025,Overall,future_target_cosine,1693,0.8661670612641079,0.876522958278656,0.04757669325352595,0.8638991573856639,0.8684349651425519,
sports,2025,Overall,delta_future_minus_past,1693,-0.010364588519488998,-0.006277143955230713,0.06616696336919989,-0.013518660452362406,-0.00721051658661559,0.44654459539279384
sports,2025,Q4-high,past_target_cosine,423,0.8313961601144597,0.8367034196853638,0.05044923412255447,0.8265746860094142,0.8362176342195052,
sports,2025,Q4-high,future_target_cosine,423,0.8647383431734487,0.87259840965271,0.042005163549796255,0.8607238757220389,0.8687528106248584,
sports,2025,Q4-high,delta_future_minus_past,423,0.033342183058988964,0.03180569410324097,0.05961198368864987,0.02764501756769515,0.03903934855028278,0.7257683215130024
