dataset,seed,scope,variant,n_users,Recall@10,NDCG@10,MRR@10,Recall@20,NDCG@20,MRR@20
sports,2022,Overall,Past-only,1693,0.03721204961606615,0.017929477041552924,0.012189547998762412,0.06733608978145304,0.025564110633520248,0.01429465189513851
sports,2022,Overall,Future-only,1693,0.006497341996455995,0.003117386653042749,0.0020926504092481646,0.01535735380980508,0.005363579332604674,0.0027125799036041356
sports,2022,Overall,Past+Future,1693,0.040756054341405785,0.018225489402123988,0.0116417742525244,0.06556408741878322,0.024458857199312345,0.01333283712281461
sports,2022,Overall,FIR-MIC full,1693,0.05906674542232723,0.03235605966935611,0.02422322541932701,0.09450679267572357,0.04134740632374025,0.02670862045822043
sports,2022,Q4-high,Past-only,423,0.002364066193853428,0.0007116548360850619,0.00026267402153926973,0.0070921985815602835,0.0020305340117405223,0.0006925042386035293
sports,2022,Q4-high,Future-only,423,0.01182033096926714,0.005822225481640296,0.0040583136327817185,0.03309692671394799,0.0111152996640646,0.005468595384444143
sports,2022,Q4-high,Past+Future,423,0.0070921985815602835,0.002211331736787933,0.0008630717850576006,0.0070921985815602835,0.002211331736787933,0.0008630717850576006
sports,2022,Q4-high,FIR-MIC full,423,0.0,0.0,0.0,0.0,0.0,0.0
sports,2023,Overall,Past-only,1693,0.017129356172474897,0.007081071641037631,0.0041567050131728215,0.03780271707028943,0.01220023430657953,0.005505426998064686
sports,2023,Overall,Future-only,1693,0.0070880094506792675,0.0036847976256247678,0.0027151951546517403,0.012404016538688719,0.005019335609006689,0.0030763161939111354
sports,2023,Overall,Past+Future,1693,0.01535735380980508,0.006020299912726422,0.0033089097028848945,0.03307737743650325,0.010426751940147116,0.004480130675957966
sports,2023,Overall,FIR-MIC full,1693,0.0596574128765505,0.03263038104090977,0.024486916247105257,0.09509746012994684,0.0416683233599821,0.027008851403828717
sports,2023,Q4-high,Past-only,423,0.01182033096926714,0.00581734489411735,0.004078014184397163,0.02127659574468085,0.008168730981883294,0.004700905974702168
sports,2023,Q4-high,Future-only,423,0.01182033096926714,0.006038671179401087,0.004382903673683816,0.02364066193853428,0.008934138773775802,0.005127379496382416
sports,2023,Q4-high,Past+Future,423,0.014184397163120567,0.00652899973020241,0.004340688205936433,0.02127659574468085,0.008277430695489843,0.0047966152576081654
sports,2023,Q4-high,FIR-MIC full,423,0.0,0.0,0.0,0.0,0.0,0.0
sports,2024,Overall,Past-only,1693,0.010632014176018901,0.004683655262614799,0.0028975520115508305,0.021264028352037802,0.007263808146341059,0.003548855013705729
sports,2024,Overall,Future-only,1693,0.005316007088009451,0.002435655498050207,0.0015725349009460055,0.012404016538688719,0.004228956800289239,0.002066804139694881
sports,2024,Overall,Past+Future,1693,0.01004134672179563,0.004470961952023834,0.002802154529856833,0.016538688718251624,0.006057456122631812,0.003206999181248457
