row_id,user,target,prefix_length,history_group,interest_diversity,semantic_gap,best_history_image_similarity,best_history_text_similarity,gap_quartile,gap_group,diversity_group
0,0,5458,1,1,,0.6444996297359467,0.6008504629135132,0.2941628396511078,2,Q2,Single-history
1,5,18349,10,>=6,0.7385724484920502,0.7655665278434753,0.322820246219635,0.21233677864074707,3,Q3,Medium
2,8,798,4,4-5,0.7327245473861694,0.6969982087612152,0.22388914227485657,0.32277992367744446,2,Q2,Medium
3,21,16785,1,1,,0.8588598668575287,0.10396245121955872,0.15043455362319946,4,Q4-high,Single-history
4,28,18103,5,4-5,0.7729601413011551,0.602933257818222,0.19679772853851318,0.44713398814201355,1,Q1-low,Medium
5,31,800,3,2-3,0.8499497026205063,0.7083321809768677,0.23855964839458466,0.30494487285614014,3,Q3,High
6,54,16989,6,>=6,0.7739009857177734,0.6576162278652191,0.29713714122772217,0.3536953926086426,2,Q2,Medium
7,55,10102,4,4-5,0.8046560138463974,0.7712428420782089,0.14300161600112915,0.25019603967666626,4,Q4-high,High
8,56,14613,2,2-3,0.4827902913093567,0.7767634689807892,0.23467811942100525,0.2203761339187622,4,Q4-high,Low
9,80,7551,3,2-3,0.8976720869541168,0.6778416931629181,0.28860121965408325,0.330547571182251,2,Q2,High
10,99,1431,5,4-5,0.7578007876873016,0.5232726335525513,0.3596437871456146,0.5059982538223267,1,Q1-low,Medium
11,122,18060,5,4-5,0.8587511777877808,0.7028710842132568,0.4926987886428833,0.24823643267154694,3,Q3,High
12,150,5838,2,2-3,0.8238232731819153,0.6641375124454498,0.3118438124656677,0.3418671488761902,2,Q2,High
13,164,8,3,2-3,0.8433482795953751,0.7757207155227661,0.2586714029312134,0.21568123996257782,4,Q4-high,High
14,165,8,5,4-5,0.7509518563747406,0.6990699172019958,0.25600603222846985,0.31216108798980713,3,Q3,Medium
15,167,8,5,4-5,0.8103789538145065,0.7008493840694427,0.14039383828639984,0.3388397991657257,3,Q3,High
16,168,18315,2,2-3,0.7499581575393677,0.5621066689491272,0.3795318603515625,0.4524837136268616,1,Q1-low,Medium
17,169,18131,10,>=6,0.6379521787166595,0.48877638578414917,0.45871639251708984,0.5243504047393799,1,Q1-low,Low
18,171,18315,10,>=6,0.6950688362121582,0.2797471880912781,0.23712781071662903,0.8410340547561646,1,Q1-low,Low
19,172,8,7,>=6,0.8405608385801315,0.6484386324882507,0.2635993957519531,0.3735518455505371,2,Q2,High
20,173,18347,10,>=6,0.6136608123779297,0.7988155484199524,0.38660702109336853,0.15482880175113678,4,Q4-high,Low
21,174,8,6,>=6,0.7806679457426071,0.5428109467029572,0.2742598354816437,0.5029213428497314,1,Q1-low,Medium
22,175,18277,2,2-3,0.8053649514913559,0.8205044269561768,0.27990981936454773,0.15439200401306152,4,Q4-high,High
23,176,18277,10,>=6,0.7696914225816727,0.624257892370224,0.22985655069351196,0.4122135043144226,2,Q2,Medium
24,177,8,6,>=6,0.794009655714035,0.6402938365936279,0.16536280512809753,0.4082919955253601,2,Q2,High
25,178,8,10,>=6,0.7602677047252655,0.561964362859726,0.3014024496078491,0.4721938967704773,1,Q1-low,Medium
26,184,14630,10,>=6,0.7462372183799744,0.542336642742157,0.4348266124725342,0.46337252855300903,1,Q1-low,Medium
27,188,16043,3,2-3,0.8548684269189835,0.7772498577833176,0.1573435366153717,0.23910179734230042,4,Q4-high,High
28,195,6753,10,>=6,0.728827953338623,0.3585391640663147,0.5148109793663025,0.673123300075531,1,Q1-low,Medium
29,196,17024,3,2-3,0.6614960134029388,0.5490775108337402,0.11061400175094604,0.535999596118927,1,Q1-low,Low
30,213,11,3,2-3,0.5804304778575897,0.8012452721595764,0.07031284272670746,0.23086519539356232,4,Q4-high,Low
31,217,12,2,2-3,0.8628479242324829,0.7982996106147766,0.19904294610023499,0.2023647427558899,4,Q4-high,High
32,226,17943,3,2-3,0.6346378028392792,0.8916196227073669,0.20288440585136414,0.08475437015295029,4,Q4-high,Low
33,229,7621,5,4-5,0.8046540319919586,0.6737720370292664,0.20272411406040192,0.3571039140224457,2,Q2,High
34,269,15737,4,4-5,0.7456954717636108,0.730853259563446,0.3002869486808777,0.261361688375473,3,Q3,Medium
35,277,18179,2,2-3,0.6506223380565643,0.6775668561458588,0.18926812708377838,0.35572439432144165,2,Q2,Low
36,289,1736,3,2-3,0.5454227924346924,0.8528582155704498,0.33222275972366333,0.10087154805660248,4,Q4-high,Low
37,303,14464,6,>=6,0.6886842548847198,0.5680587589740753,0.2308669239282608,0.48220980167388916,1,Q1-low,Low
38,315,7129,4,4-5,0.6583558320999146,0.6443724036216736,0.1470339596271515,0.40777599811553955,2,Q2,Low
39,321,10682,2,2-3,0.697751373052597,0.8026012927293777,0.1030757799744606,0.22097943723201752,4,Q4-high,Low
40,347,14009,3,2-3,0.7567617148160934,0.6866730451583862,0.32820266485214233,0.3096080422401428,2,Q2,Medium
41,383,12643,1,1,,0.49316948652267456,0.290093332529068,0.5610147714614868,1,Q1-low,Single-history
42,406,15569,3,2-3,0.8477531224489212,0.7379234433174133,0.23274222016334534,0.2694101333618164,3,Q3,High
43,408,13719,10,>=6,0.7847583293914795,0.47033578157424927,0.42322736978530884,0.5562734603881836,1,Q1-low,High
44,414,17566,2,2-3,0.8389395028352737,0.6725113093852997,0.29587727785110474,0.3353915214538574,2,Q2,High
45,416,18194,2,2-3,0.6649512648582458,0.8914186805486679,0.12385839223861694,0.10476204752922058,4,Q4-high,Low
46,421,17961,10,>=6,0.7728641331195831,0.7026534080505371,0.19823631644248962,0.322124183177948,3,Q3,Medium
47,450,8854,4,4-5,0.7497948408126831,0.5990691781044006,0.32158908247947693,0.4207662343978882,1,Q1-low,Medium
48,475,17335,3,2-3,0.7322015464305878,0.5384271740913391,0.5108372569084167,0.4492567181587219,1,Q1-low,Medium
49,476,18030,7,>=6,0.7931834608316422,0.6744961142539978,0.328105092048645,0.3248535692691803,2,Q2,High
